,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
169,MINDTREE,EQ,15-Jan-2018,633.75,635.0,640.85,622.65,627.15,627.5,633.48,471138,298458377.9,20555,216388,45.93,1,2018,525.3920292526295,-0.009861932938856066,Slight or No change
170,MINDTREE,EQ,16-Jan-2018,627.5,631.95,635.45,616.6,618.8,619.75,626.97,518830,325289119.5,16203,152362,29.37,1,2018,525.8703068834772,-0.012350597609561698,Slight or No change
171,MINDTREE,EQ,17-Jan-2018,619.75,621.0,629.8,615.0,622.0,624.85,624.34,686332,428504322.95,19219,133921,19.51,1,2018,526.5295634181647,0.00822912464703518,Slight or No change
172,MINDTREE,EQ,18-Jan-2018,624.85,665.2,693.6,663.2,681.15,684.15,679.4,6947714,4720256501.1,110058,610361,8.79,1,2018,536.4857148170493,0.0949027766663999,Slight or No change
173,MINDTREE,EQ,19-Jan-2018,684.15,685.0,706.0,671.2,705.0,702.4,689.79,2401933,1656834550.6,52810,313509,13.05,1,2018,540.031398369595,0.026675436673244235,Slight or No change
174,MINDTREE,EQ,22-Jan-2018,702.4,700.0,764.3,693.45,753.0,757.35,741.57,5595004,4149078691.85,108498,844332,15.09,1,2018,550.3365473265778,0.07823177676537596,Slight or No change
175,MINDTREE,EQ,23-Jan-2018,757.35,750.0,775.0,742.9,762.5,762.55,761.79,2763558,2105261850.9,56964,658642,23.83,1,2018,555.193274200929,0.006866046081732247,Slight or No change
176,MINDTREE,EQ,24-Jan-2018,762.55,758.0,784.0,748.8,754.3,753.45,767.34,4376579,3358327272.2,92458,1170743,26.75,1,2018,562.1275774374058,-0.01193364369549521,Slight or No change
177,MINDTREE,EQ,25-Jan-2018,753.45,762.8,770.25,747.0,750.0,749.55,757.7,1800526,1364250471.55,51348,665777,36.98,1,2018,564.786198336544,-0.0051761895281705605,Slight or No change
178,MINDTREE,EQ,29-Jan-2018,749.55,750.0,770.8,749.0,760.1,761.95,763.94,1733599,1324365236.85,44097,644279,37.16,1,2018,567.4427599291586,0.016543259288906764,Slight or No change
179,MINDTREE,EQ,30-Jan-2018,761.95,758.0,772.7,756.0,762.25,764.45,765.46,1023279,783279452.4,21319,326813,31.94,1,2018,568.9972214232256,0.0032810551873483362,Slight or No change
180,MINDTREE,EQ,31-Jan-2018,764.45,774.0,779.15,762.55,768.0,770.0,770.36,1590667,1225386278.75,41039,478479,30.08,1,2018,571.4327355014166,0.007260121656092577,Slight or No change
181,MINDTREE,EQ,01-Feb-2018,770.0,765.55,769.0,745.05,757.75,753.6,757.46,936000,708983789.6,42431,352018,37.61,2,2018,572.7223799582431,-0.02129870129870126,Slight or No change
182,MINDTREE,EQ,02-Feb-2018,753.6,750.0,758.0,730.2,735.2,735.15,744.87,902642,672353527.85,34408,268491,29.75,2,2018,573.8237780279435,-0.024482484076433164,Slight or No change
183,MINDTREE,EQ,05-Feb-2018,735.15,720.05,727.95,683.4,711.2,705.0,700.27,1709873,1197373385.95,45497,381884,22.33,2,2018,575.4873626402235,-0.04101203835951839,Slight or No change
184,MINDTREE,EQ,06-Feb-2018,705.0,662.0,723.5,662.0,719.4,720.7,710.1,2091682,1485301172.8,72490,729303,34.87,2,2018,577.7057639471533,0.022269503546099356,Slight or No change
185,MINDTREE,EQ,07-Feb-2018,720.7,728.4,728.45,714.7,715.95,717.45,720.81,893481,644027734.55,28142,378442,42.36,2,2018,578.6117769039774,-0.004509504648258611,Slight or No change
186,MINDTREE,EQ,08-Feb-2018,717.45,721.0,750.0,717.4,733.35,733.3,736.8,1430828,1054241127.1,60686,584972,40.88,2,2018,580.201326348627,0.02209213185587844,Slight or No change
187,MINDTREE,EQ,09-Feb-2018,733.3,725.0,732.65,713.7,717.25,717.2,720.54,669860,482657777.75,28957,256033,38.22,2,2018,580.8572382219953,-0.021955543433792357,Slight or No change
188,MINDTREE,EQ,12-Feb-2018,717.2,721.7,727.6,716.2,722.0,722.4,722.17,741147,535237280.95,30580,274894,37.09,2,2018,581.6030729753182,0.007250418293363037,Slight or No change
189,MINDTREE,EQ,14-Feb-2018,722.4,724.9,738.75,719.75,723.65,723.6,731.02,1028773,752049816.1,29286,476094,46.28,2,2018,582.634133403515,0.0016611295681063787,Slight or No change
190,MINDTREE,EQ,15-Feb-2018,723.6,732.5,732.5,694.4,704.5,701.6,713.21,540597,385560956.65,16226,97871,18.1,2,2018,583.0863304196852,-0.030403537866224406,Slight or No change
191,MINDTREE,EQ,16-Feb-2018,701.6,705.4,720.0,705.05,712.8,713.2,711.95,700799,498936154.8,20320,172242,24.58,2,2018,583.7243196735592,0.016533637400228063,Slight or No change
